tweet	vote
	
Encima el prerreferendum fascista de mierda este viene con veda alcohólica y de espectáculos.	1.0
os juro que puedo resumir una parte preocupante de mis experiencias laborales en cobrar en negro y que organismos o públicos o que son instituciones consolidadas tarden puto siglo y medio en pagarme	0.0
Alejan a la afición con sus pendejadas , puta directiva  sin huevos , creen que fue un triunfo ?  Pudieron matar y regalaron el juego @AlonsoDT  muestra algo vergüenza , coraje, voluntad pero es difícil cuando no tienes lo necesario para ser DT	0.0
No nada...se hizo el marica	0.0
"Después de perder un mundial me avisaron que salía el traslado del negro al italiano de La Plata para un trasplante, nunca fui tan feliz.\nA las horas ""viste? julio los prepara y agosto se los lleva""\nYa no me afecta tanto como antes, pero que frases de mierda dice la gente a veces"	0.0
Grande Sanitas \nNo había lesión \nEso o que eres maricon @GarethBale11	1.0
Tu sí que pierdes puto imbécil, si tú insultas en chino yo te lo digo en español. Te vas a meter con tu puta madre cerebro de cacahuete, que ya te gustaría a ti hacer Cosplay tan bien como ella y tener un cuerpo la mitad de bonito que el suyo. Fucking idiot.	1.0
de centro y derechosos. Con el Put@ FMI y hasta con el negro de WhatsApp.\nCon la Iglesia y con los mercados, el maldito sistema financiero. Alberto fué quien con Néstor chamuyó a los acreedores del default...\nEL anuncio de la fórmula desencajó todo.\n	1.0
El estrés que me generó este negro de mierda , el dolor de cabeza no se me calma con nada	1.0
Bahhh.... tranquila, es un puto moro, nada que temer.	1.0
